Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
OK161371.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021-06-14
OK161378.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021-06-14
OK161398.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	6999	complete	USA	USA		Homo sapiens		2021-06-15
OK161404.1	rhinovirus C43	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021-06-15
OK161409.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7026	complete	USA	USA		Homo sapiens		2021-06-15
OK181457.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7051	complete	USA	USA		Homo sapiens		2021-06-17
OK181472.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021-06-18
OK181487.1	rhinovirus C8	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-06-15
OK181493.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021-06-21
OK181499.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021-06-18
OK181501.1	rhinovirus C7	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7039	complete	USA	USA		Homo sapiens		2021
MZ670576.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07	8TWEKH	Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-06-09
MZ670590.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7051	complete	USA	USA		Homo sapiens		2021-06-09
MZ670596.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7038	complete	USA	USA		Homo sapiens		2021-06-09
MZ670597.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07	U2X3AR	Rhinovirus C	7071	complete	USA	USA		Homo sapiens		2021-06-01
MZ835576.1	rhinovirus C2	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021-06-10
MZ835598.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021-06-07
MZ835600.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021
MZ835616.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-07		Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021-06-10
MZ667421.2	Rhinovirus C	GenBank		Makhsous,N., Goya,S., Avendano,C., Kuypers,J., Jerome,K., Boeckh,M., Greninger,A., Waghmare,A.	University of Washington, Virology	USA	2021-09-04	HRV-C17/NW1/2009	Rhinovirus C	7051	complete	USA	USA		Homo sapiens	oronasopharynx	2009-08-24
MZ447875.2	Rhinovirus C	GenBank		Makhsous,N., Goya,S., Avendano,C., Kuypers,J., Jerome,K., Boeckh,M., Greninger,A., Waghmare,A.	University of Washington, Virology	USA	2021-08-08	HRV-C28/BAL12a/2013	Rhinovirus C	7003	complete	USA	USA		Homo sapiens	lung	2013-01-11
MZ540947.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	6992	complete	USA	USA		Homo sapiens		2021-05-14
MZ540948.1	rhinovirus C23	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-13
MZ540951.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7059	complete	USA	USA		Homo sapiens		2021-05-12
MZ540954.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-05-12
MZ629106.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7088	complete	USA	USA		Homo sapiens		2021-05-27
MZ629107.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7076	complete	USA	USA		Homo sapiens		2021
MZ629109.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021
MZ629115.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021-06-05
MZ629123.1	rhinovirus C56	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7107	complete	USA	USA		Homo sapiens		2021-06-01
MZ629145.1	rhinovirus C43	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	6992	complete	USA	USA		Homo sapiens		2021-06-01
MZ629159.1	rhinovirus C34	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7094	complete	USA	USA		Homo sapiens		2021-06-01
MZ629160.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021-06-01
MZ629164.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-06-01
MZ629165.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-01
MZ629168.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021-06-01
MZ629171.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-07
MZ629172.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-05
MZ629181.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-08-08		Rhinovirus C	7056	complete	USA	USA		Homo sapiens		2021-06-05
MW679007.1	Rhinovirus C	GenBank		Collins,C.L., Kraberger,S., Fontenele,R.S., Faleye,T.O.C., Sandrolini,H., Halden,R., Scotch,M., Varsani,A.	Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics	USA	2021-07-18	AZ6_4	Rhinovirus C	6952	complete	USA: Arizona, Tempe	USA	AZ	Homo sapiens	oronasopharynx	2020-03-13
MW679009.1	Rhinovirus C	GenBank		Collins,C.L., Kraberger,S., Fontenele,R.S., Faleye,T.O.C., Sandrolini,H., Halden,R., Scotch,M., Varsani,A.	Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics	USA	2021-07-18	AZ7_188	Rhinovirus C	7071	complete	USA: Arizona, Tempe	USA	AZ	Homo sapiens	oronasopharynx	2020-03-16
MZ427501.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	6991	complete	USA	USA		Homo sapiens		2021-05-11
MZ427502.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-10
MZ427505.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7040	complete	USA	USA		Homo sapiens		2021-05-11
MZ460673.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7066	complete	USA	USA		Homo sapiens		2021-05-13
MZ460675.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	6991	complete	USA	USA		Homo sapiens		2021-05-13
MZ460677.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-13
MZ460682.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-13
MZ460683.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-05-13
MZ460685.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-05-12
MZ460686.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021-05-12
MZ460687.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021-05-12
MZ460690.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-13
MZ460691.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
MZ460692.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-13
MZ460694.1	rhinovirus C6	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	6938	complete	USA	USA		Homo sapiens		2021-05-13
MZ460695.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-13
MZ460696.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7068	complete	USA	USA		Homo sapiens		2021-05-12
MZ460697.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-12
MZ460698.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-05-12
MZ460700.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-14
MZ460701.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-12
MZ460703.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-14
MZ460704.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7041	complete	USA	USA		Homo sapiens		2021-05-12
MZ460705.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021-05-12
MZ460707.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	6992	complete	USA	USA		Homo sapiens		2021-05-13
MZ460709.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-05-13
MZ460711.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-14
MZ460712.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-07-14		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268647.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	7CST74	Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021
MZ268648.1	rhinovirus C8	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	7N6PM0	Rhinovirus C	7067	complete	USA	USA		Homo sapiens		2021-04-09
MZ268650.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	8DU56B	Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021-04-09
MZ268652.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	256015	Rhinovirus C	7047	complete	USA	USA		Homo sapiens		2021
MZ268653.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	256231	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-04-13
MZ268659.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	303141	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-04-15
MZ268662.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	AKGDSB	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
MZ268666.1	Rhinovirus C	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	M6TYGH	Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021
MZ268671.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	S5ZVP8	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-04-07
MZ268674.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	WUS4L7	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268676.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	162800	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-04-08
MZ268677.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	163432	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021-04-08
MZ268678.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	163436	Rhinovirus C	7098	complete	USA	USA		Homo sapiens		2021-04-08
MZ268679.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	163548	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-04-08
MZ268682.1	Rhinovirus C	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469444	Rhinovirus C	7110	complete	USA	USA		Homo sapiens		2021
MZ268683.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469636	Rhinovirus C	7091	complete	USA	USA		Homo sapiens		2021
MZ268684.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469761	Rhinovirus C	7088	complete	USA	USA		Homo sapiens		2021
MZ268685.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469764	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268686.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469768	Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021
MZ268687.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469819	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268688.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469829	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
MZ268689.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469843	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021
MZ268691.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	470093	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
MZ268692.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	470120	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268693.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	470156	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
MZ268694.1	rhinovirus C40	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	470389	Rhinovirus C	7043	complete	USA	USA		Homo sapiens		2021
MZ268696.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	471514	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021
MZ268697.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	469862	Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021
MZ268698.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	163780	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-04-08
MZ268699.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	255977	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-04-13
MZ268700.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	303342	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-04-15
MZ268701.1	Rhinovirus C	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	470961	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021
MZ268702.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	2TL76C	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-04-26
MZ268704.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	3QL9MK	Rhinovirus C	7061	complete	USA	USA		Homo sapiens		2021-05-03
MZ268705.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	7M3XTG	Rhinovirus C	7054	complete	USA	USA		Homo sapiens		2021-04-28
MZ268706.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	8QSTY6	Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-05-03
MZ268707.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	498C5V	Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021-04-26
MZ268708.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	044640	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-03
MZ268709.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	044858	Rhinovirus C	7104	complete	USA	USA		Homo sapiens		2021-05-03
MZ268710.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	045373	Rhinovirus C	7057	complete	USA	USA		Homo sapiens		2021-05-03
MZ268711.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	255245	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021-04-13
MZ268712.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	278067	Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-04-14
MZ268714.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	397175	Rhinovirus C	7079	complete	USA	USA		Homo sapiens		2021-04-20
MZ268716.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	398871	Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-04-20
MZ268717.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	412120	Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021-04-21
MZ268718.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	412252	Rhinovirus C	7040	complete	USA	USA		Homo sapiens		2021-04-21
MZ268720.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-06-15	412768	Rhinovirus C	6930	complete	USA	USA		Homo sapiens		2021-04-21
